Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Florian Kainz,at AUT,"MF,FW",Köln,31-087,1992,13.0,678,600,76,20,2,2,75,15,32,11,15,0,492,2,16
Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,26-196,1997,0.7,16,14,1,0,0,0,0,0,0,0,0,0,11,1,1
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,21-228,2002,2.6,76,74,2,0,0,1,5,2,0,0,0,0,62,0,3
Kevin Kampl,si SVN,MF,RB Leipzig,33-102,1990,10.5,716,688,28,20,2,0,6,8,0,0,0,0,654,0,6
Harry Kane,eng ENG,FW,Bayern Munich,30-175,1993,15.6,334,321,12,3,12,8,15,3,1,0,0,0,235,1,15
Atakan Karazor,de GER,MF,Stuttgart,27-098,1996,16.1,958,925,29,28,2,1,3,1,0,0,0,0,845,4,15
Emir Karic,at AUT,DF,Darmstadt 98,26-224,1997,8.3,511,440,70,3,0,5,18,67,0,0,0,0,409,1,13
Silas Katompa,cd COD,"FW,MF",Stuttgart,25-105,1998,8.1,202,201,1,0,3,1,22,1,0,0,0,0,148,0,14
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,23-016,2001,1.9,44,43,1,0,0,0,2,1,0,0,0,0,26,0,3
Naby Keïta,gn GUI,MF,Werder Bremen,28-343,1995,0.9,45,45,0,0,1,0,0,0,0,0,0,0,35,0,1
Yannik Keitel,de GER,MF,Freiburg,23-338,2000,1.4,39,39,0,0,0,0,1,0,0,0,0,0,28,0,1
Thomas Keller,de GER,"MF,FW",Heidenheim,24-167,1999,0.0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Aljoscha Kemlein,de GER,MF,Union Berlin,19-170,2004,0.3,9,8,0,0,0,0,0,0,0,0,0,0,7,1,0
Tobias Kempe,de GER,MF,Darmstadt 98,34-206,1989,9.1,352,278,71,30,1,2,60,1,39,14,23,0,250,3,8
Rani Khedira,de GER,MF,Union Berlin,29-357,1994,4.0,137,131,6,1,0,0,3,0,0,0,0,0,96,0,6
Luca Kilian,de GER,DF,Köln,24-140,1999,3.1,161,153,8,3,0,0,1,5,0,0,0,0,127,0,2
Joshua Kimmich,de GER,MF,Bayern Munich,28-345,1995,10.5,1030,922,105,39,10,5,73,5,61,17,34,2,890,3,6
